headline,label
BREAKING: a billionaire caught making secret deals in secret the White House!!!,FAKE
Economic indicators suggest a notable shift in consumer spending,REAL
National weather service issues advisory for the Pacific Northwest,REAL
National weather service issues advisory for the Southeast,REAL
Economic indicators suggest stability in consumer spending,REAL
International summit addresses immigration concerns,REAL
EXPOSED: The truth about social media they don't want you to know,FAKE
BREAKING NEWS: a world leader admits to destroying documents on live TV!!!,FAKE
CONFIRMED: the economy is a complete HOAX created by the elite,FAKE
National weather service issues advisory for the Southwest,REAL
URGENT: vaccines will change everything by next week!!!,FAKE
Economic indicators suggest stability in consumer spending,REAL
Intel reports quarterly earnings of $49 billion,REAL
Scientists BAFFLED by vaccines that manipulating elections,FAKE
Economic indicators suggest stability in consumer spending,REAL
BREAKING: the CEO caught lying to citizens in secret a lab!!!,FAKE
Tesla announces expansion into the Pacific Northwest market,REAL
Apple announces expansion into East Asia market,REAL
Environmental agency reports progress on cybersecurity goals,REAL
Is climate data secretly controlled by secret societies? Evidence says YES,FAKE
Local school district approves new immigration curriculum,REAL
LOOK what a world leader was caught doing at a bunker!!!,FAKE
Is the economy secretly controlled by secret societies? Evidence says YES,FAKE
a Senator EXPOSED for faking data — the evidence is UNDENIABLE,FAKE
MIRACLE vaccines that stealing money — Big Pharma HATES this,FAKE
Apple announces expansion into the Southeast market,REAL
WARNING: a world leader planning to conspiring against democracy — leaked documents reveal,FAKE
BOMBSHELL: an insider secretly manipulating elections behind closed doors,FAKE
Environmental agency reports progress on immigration goals,REAL
Meta announces expansion into Northern Europe market,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
Federal Reserve announces 11% interest rate adjustment,REAL
Is education system secretly controlled by secret societies? Evidence says YES,FAKE
Samsung reports quarterly earnings of $1 billion,REAL
CONFIRMED: 5G towers is a complete HOAX created by the deep state,FAKE
International summit addresses immigration concerns,REAL
Supreme Court to hear arguments on cybersecurity case,REAL
ALERT: social media causes end democracy — doctors are STUNNED,FAKE
BREAKING NEWS: a tech mogul admits to hiding evidence on live TV!!!,FAKE
Amazon to invest $3 million in renewable energy,REAL
Supreme Court to hear arguments on climate case,REAL
PROOF: education system is being used to hiding evidence,FAKE
Is the economy secretly controlled by the elite? Evidence says YES,FAKE
Senate passes bipartisan climate reform bill,REAL
Transportation authority unveils bridge improvement plan,REAL
TOP SECRET: secret societies caught planning the economy,FAKE
Annual report shows 7% change in housing prices,REAL
ALERT: vaccines causes collapse society — doctors are STUNNED,FAKE
Amazon to invest $1 million in renewable energy,REAL
MIRACLE elections that spying on people — Big Pharma HATES this,FAKE
BREAKING NEWS: a Senator admits to making secret deals on live TV!!!,FAKE
International summit addresses energy concerns,REAL
Healthcare officials recommend preventive vaccination for flu season,REAL
Phoenix mayor announces infrastructure development plan,REAL
Canada signs trade agreement with India,REAL
International summit addresses transportation concerns,REAL
Environmental agency reports progress on technology goals,REAL
Senate passes bipartisan transportation reform bill,REAL
International summit addresses healthcare concerns,REAL
SHOCKING: Government hiding elections from the public,FAKE
Google to invest $19 million in renewable energy,REAL
Microsoft announces expansion into Northern Europe market,REAL
Houston mayor announces infrastructure development plan,REAL
France signs trade agreement with Germany,REAL
CONFIRMED: 5G towers is a complete HOAX created by shadow government,FAKE
BREAKING: an insider caught lying to citizens in secret a mansion!!!,FAKE
You WON'T BELIEVE what a billionaire did to small businesses!!!,FAKE
